time,gFx,gFy,gFz,TgF
416.386942758,0.1036,0.1232,0.6983,0.709
417.387507862,0.2996,0.1061,0.9091,0.953
418.396220674,0.1525,0.0738,0.6270,0.641
419.388012444,0.0122,0.1917,1.0709,1.083
420.388363434,0.0044,0.1183,0.9863,0.989
421.388650517,0.1510,0.1404,1.0851,1.097
422.39756187,0.0924,0.0753,0.7693,0.772
423.396360307,0.0503,-0.0088,0.8915,0.888
424.394142911,0.0762,-0.1212,0.8641,0.872
425.392695307,-0.0719,0.0147,1.2821,1.282
426.393709577,0.0645,0.1487,1.1657,1.171
427.413141035,-0.0298,0.1560,1.0332,1.041
428.390719264,0.1442,0.0846,0.9526,0.960
